"","year","month","day","site_name","distance","shoots_m2","flowering_shoots_m2","shoots","flowering_shoots"
"1","2019","Aug","28","West Beach",0.5,864,32,27,1
"2","2019","Aug","28","West Beach",1.5,640,96,20,3
"3","2019","Aug","28","West Beach",2.5,1632,32,51,1
"4","2019","Aug","28","West Beach",3.5,864,32,27,1
"5","2019","Aug","28","West Beach",4.5,192,64,6,2
"6","2019","Aug","28","West Beach",5.5,1152,160,36,5
"7","2019","Aug","28","West Beach",6.5,672,0,21,0
"8","2019","Aug","28","West Beach",7.5,1952,32,61,1
"9","2019","Aug","28","West Beach",8.5,1344,32,42,1
"10","2019","Aug","28","West Beach",9.5,1216,0,38,0
"11","2019","Aug","29","Fifth Beach",0.5,0,NA,0,NA
"12","2019","Aug","29","Fifth Beach",1.5,0,NA,0,NA
"13","2019","Aug","29","Fifth Beach",2.5,0,NA,0,NA
"14","2019","Aug","29","Fifth Beach",3.5,1056,0,33,0
"15","2019","Aug","29","Fifth Beach",4.5,608,0,19,0
"16","2019","Aug","29","Fifth Beach",5.5,0,NA,0,NA
"17","2019","Aug","29","Fifth Beach",6.5,2336,640,73,20
"18","2019","Aug","29","Fifth Beach",7.5,2240,0,70,0
"19","2019","Aug","29","Fifth Beach",8.5,0,NA,0,NA
"20","2019","Aug","29","Fifth Beach",9.5,0,NA,0,NA
"21","2019","Aug","30","North Beach",0.5,960,0,30,0
"22","2019","Aug","30","North Beach",1.5,1376,64,43,2
"23","2019","Aug","30","North Beach",2.5,896,0,28,0
"24","2019","Aug","30","North Beach",3.5,384,0,12,0
"25","2019","Aug","30","North Beach",4.5,1504,0,47,0
"26","2019","Aug","30","North Beach",5.5,736,64,23,2
"27","2019","Aug","30","North Beach",6.5,0,NA,0,NA
"28","2019","Aug","30","North Beach",7.5,704,0,22,0
"29","2019","Aug","30","North Beach",8.5,928,0,29,0
"30","2019","Aug","30","North Beach",9.5,1024,32,32,1
"31","2019","Jun","15","Fifth Beach",0.5,0,NA,0,NA
"32","2019","Jun","15","Fifth Beach",1.5,0,NA,0,NA
"33","2019","Jun","15","Fifth Beach",2.5,0,NA,0,NA
"34","2019","Jun","15","Fifth Beach",3.5,832,0,26,0
"35","2019","Jun","15","Fifth Beach",4.5,1472,0,46,0
"36","2019","Jun","15","Fifth Beach",5.5,480,0,15,0
"37","2019","Jun","15","Fifth Beach",6.5,1856,0,58,0
"38","2019","Jun","15","Fifth Beach",7.5,512,0,16,0
"39","2019","Jun","15","Fifth Beach",8.5,64,0,2,0
"40","2019","Jun","15","Fifth Beach",9.5,0,NA,0,NA
"41","2019","Jun","16","West Beach",0.5,192,32,6,1
"42","2019","Jun","16","West Beach",1.5,0,NA,0,NA
"43","2019","Jun","16","West Beach",2.5,1024,160,32,5
"44","2019","Jun","16","West Beach",3.5,608,0,19,0
"45","2019","Jun","16","West Beach",4.5,928,96,29,3
"46","2019","Jun","16","West Beach",5.5,160,0,5,0
"47","2019","Jun","16","West Beach",6.5,1056,64,33,2
"48","2019","Jun","16","West Beach",7.5,928,64,29,2
"49","2019","Jun","16","West Beach",8.5,1056,64,33,2
"50","2019","Jun","16","West Beach",9.5,736,0,23,0
"51","2019","Jun","18","North Beach",0.5,928,224,29,7
"52","2019","Jun","18","North Beach",1.5,1696,256,53,8
"53","2019","Jun","18","North Beach",2.5,0,NA,0,NA
"54","2019","Jun","18","North Beach",3.5,864,32,27,1
"55","2019","Jun","18","North Beach",4.5,288,0,9,0
"56","2019","Jun","18","North Beach",5.5,576,64,18,2
"57","2019","Jun","18","North Beach",6.5,0,NA,0,NA
"58","2019","Jun","18","North Beach",7.5,192,0,6,0
"59","2019","Jun","18","North Beach",8.5,832,0,26,0
"60","2019","Jun","18","North Beach",9.5,768,0,24,0
"61","2019","May","21","Fifth Beach",0.5,0,NA,0,NA
"62","2019","May","21","Fifth Beach",1.5,0,NA,0,NA
"63","2019","May","21","Fifth Beach",2.5,0,NA,0,NA
"64","2019","May","21","Fifth Beach",3.5,3776,0,118,0
"65","2019","May","21","Fifth Beach",4.5,2400,0,75,0
"66","2019","May","21","Fifth Beach",5.5,4352,0,136,0
"67","2019","May","21","Fifth Beach",6.5,2976,0,93,0
"68","2019","May","21","Fifth Beach",7.5,3136,0,98,0
"69","2019","May","21","Fifth Beach",8.5,1664,0,52,0
"70","2019","May","21","Fifth Beach",9.5,0,NA,0,NA
"71","2019","May","22","North Beach",0.5,960,160,30,5
"72","2019","May","22","North Beach",1.5,1856,0,58,0
"73","2019","May","22","North Beach",2.5,0,NA,0,NA
"74","2019","May","22","North Beach",3.5,384,0,12,0
"75","2019","May","22","North Beach",4.5,1664,0,52,0
"76","2019","May","22","North Beach",5.5,416,0,13,0
"77","2019","May","22","North Beach",6.5,0,NA,0,NA
"78","2019","May","22","North Beach",7.5,0,NA,0,NA
"79","2019","May","22","North Beach",8.5,896,0,28,0
"80","2019","May","22","North Beach",9.5,480,0,15,0
"81","2020","Aug","18","West Beach",0.5,1312,64,41,2
"82","2020","Aug","18","West Beach",1.5,2240,128,70,4
"83","2020","Aug","18","West Beach",2.5,512,0,16,0
"84","2020","Aug","18","West Beach",3.5,608,64,19,2
"85","2020","Aug","18","West Beach",4.5,448,256,14,8
"86","2020","Aug","18","West Beach",5.5,448,128,14,4
"87","2020","Aug","18","West Beach",6.5,960,32,30,1
"88","2020","Aug","18","West Beach",7.5,480,0,15,0
"89","2020","Aug","18","West Beach",8.5,0,NA,0,NA
"90","2020","Aug","18","West Beach",9.5,928,32,29,1
"91","2020","Aug","19","North Beach",0.5,1536,0,48,0
"92","2020","Aug","19","North Beach",1.5,1408,0,44,0
"93","2020","Aug","19","North Beach",2.5,0,NA,0,NA
"94","2020","Aug","19","North Beach",3.5,1216,0,38,0
"95","2020","Aug","19","North Beach",4.5,800,192,25,6
"96","2020","Aug","19","North Beach",5.5,1856,96,58,3
"97","2020","Aug","19","North Beach",6.5,0,NA,0,NA
"98","2020","Aug","19","North Beach",7.5,0,NA,0,NA
"99","2020","Aug","19","North Beach",8.5,1152,0,36,0
"100","2020","Aug","19","North Beach",9.5,1376,32,43,1
"101","2020","Aug","20","Fifth Beach",0.5,0,NA,0,NA
"102","2020","Aug","20","Fifth Beach",1.5,0,NA,0,NA
"103","2020","Aug","20","Fifth Beach",2.5,0,NA,0,NA
"104","2020","Aug","20","Fifth Beach",3.5,0,NA,0,NA
"105","2020","Aug","20","Fifth Beach",4.5,96,0,3,0
"106","2020","Aug","20","Fifth Beach",5.5,2720,0,85,0
"107","2020","Aug","20","Fifth Beach",6.5,352,0,11,0
"108","2020","Aug","20","Fifth Beach",7.5,320,0,10,0
"109","2020","Aug","20","Fifth Beach",8.5,0,NA,0,NA
"110","2020","Aug","20","Fifth Beach",9.5,0,NA,0,NA
"111","2020","Jun","03","North Beach",0.5,576,256,18,8
"112","2020","Jun","03","North Beach",1.5,416,128,13,4
"113","2020","Jun","03","North Beach",2.5,0,NA,0,NA
"114","2020","Jun","03","North Beach",3.5,512,64,16,2
"115","2020","Jun","03","North Beach",4.5,480,0,15,0
"116","2020","Jun","03","North Beach",5.5,320,0,10,0
"117","2020","Jun","03","North Beach",6.5,0,NA,0,NA
"118","2020","Jun","03","North Beach",7.5,0,NA,0,NA
"119","2020","Jun","03","North Beach",8.5,128,0,4,0
"120","2020","Jun","03","North Beach",9.5,704,0,22,0
"121","2020","Jun","05","West Beach",0.5,2144,96,67,3
"122","2020","Jun","05","West Beach",1.5,1312,64,41,2
"123","2020","Jun","05","West Beach",2.5,1440,96,45,3
"124","2020","Jun","05","West Beach",3.5,704,64,22,2
"125","2020","Jun","05","West Beach",4.5,1024,256,32,8
"126","2020","Jun","05","West Beach",5.5,832,160,26,5
"127","2020","Jun","05","West Beach",6.5,928,64,29,2
"128","2020","Jun","05","West Beach",7.5,1952,32,61,1
"129","2020","Jun","05","West Beach",8.5,0,NA,0,NA
"130","2020","Jun","05","West Beach",9.5,0,NA,0,NA
"131","2020","Jun","06","Fifth Beach",0.5,0,NA,0,NA
"132","2020","Jun","06","Fifth Beach",1.5,0,NA,0,NA
"133","2020","Jun","06","Fifth Beach",2.5,0,NA,0,NA
"134","2020","Jun","06","Fifth Beach",3.5,512,0,16,0
"135","2020","Jun","06","Fifth Beach",4.5,352,0,11,0
"136","2020","Jun","06","Fifth Beach",5.5,0,NA,0,NA
"137","2020","Jun","06","Fifth Beach",6.5,64,0,2,0
"138","2020","Jun","06","Fifth Beach",7.5,480,0,15,0
"139","2020","Jun","06","Fifth Beach",8.5,0,NA,0,NA
"140","2020","Jun","06","Fifth Beach",9.5,0,NA,0,NA
"141","2021","Aug","20","West Beach",0.5,1600,160,50,5
"142","2021","Aug","20","West Beach",1.5,1632,64,51,2
"143","2021","Aug","20","West Beach",2.5,1376,192,43,6
"144","2021","Aug","20","West Beach",3.5,832,64,26,2
"145","2021","Aug","20","West Beach",4.5,1696,224,53,7
"146","2021","Aug","20","West Beach",5.5,1376,32,43,1
"147","2021","Aug","20","West Beach",6.5,896,0,28,0
"148","2021","Aug","20","West Beach",7.5,1088,0,34,0
"149","2021","Aug","20","West Beach",8.5,1152,0,36,0
"150","2021","Aug","20","West Beach",9.5,224,0,7,0
"151","2021","Aug","21","Fifth Beach",0.5,0,NA,0,NA
"152","2021","Aug","21","Fifth Beach",1.5,0,NA,0,NA
"153","2021","Aug","21","Fifth Beach",2.5,0,NA,0,NA
"154","2021","Aug","21","Fifth Beach",3.5,0,NA,0,NA
"155","2021","Aug","21","Fifth Beach",4.5,2944,96,92,3
"156","2021","Aug","21","Fifth Beach",5.5,1664,96,52,3
"157","2021","Aug","21","Fifth Beach",6.5,0,NA,0,NA
"158","2021","Aug","21","Fifth Beach",7.5,0,NA,0,NA
"159","2021","Aug","21","Fifth Beach",8.5,0,NA,0,NA
"160","2021","Aug","21","Fifth Beach",9.5,0,NA,0,NA
"161","2021","Aug","24","North Beach",0.5,1568,0,49,0
"162","2021","Aug","24","North Beach",1.5,1792,0,56,0
"163","2021","Aug","24","North Beach",2.5,0,NA,0,NA
"164","2021","Aug","24","North Beach",3.5,928,32,29,1
"165","2021","Aug","24","North Beach",4.5,512,0,16,0
"166","2021","Aug","24","North Beach",5.5,1440,96,45,3
"167","2021","Aug","24","North Beach",6.5,0,NA,0,NA
"168","2021","Aug","24","North Beach",7.5,96,0,3,0
"169","2021","Aug","24","North Beach",8.5,0,NA,0,NA
"170","2021","Aug","24","North Beach",9.5,1408,32,44,1
"171","2021","Jun","24","West Beach",0.5,928,192,29,6
"172","2021","Jun","24","West Beach",1.5,1440,256,45,8
"173","2021","Jun","24","West Beach",2.5,2464,128,77,4
"174","2021","Jun","24","West Beach",3.5,1632,0,51,0
"175","2021","Jun","24","West Beach",4.5,1280,224,40,7
"176","2021","Jun","24","West Beach",5.5,1248,0,39,0
"177","2021","Jun","24","West Beach",6.5,768,0,24,0
"178","2021","Jun","24","West Beach",7.5,1984,0,62,0
"179","2021","Jun","24","West Beach",8.5,960,0,30,0
"180","2021","Jun","24","West Beach",9.5,96,0,3,0
"181","2021","Jun","26","Fifth Beach",0.5,0,NA,0,NA
"182","2021","Jun","26","Fifth Beach",1.5,0,NA,0,NA
"183","2021","Jun","26","Fifth Beach",2.5,0,NA,0,NA
"184","2021","Jun","26","Fifth Beach",3.5,960,NA,30,NA
"185","2021","Jun","26","Fifth Beach",4.5,0,NA,0,NA
"186","2021","Jun","26","Fifth Beach",5.5,7360,NA,230,NA
"187","2021","Jun","26","Fifth Beach",6.5,6720,NA,210,NA
"188","2021","Jun","26","Fifth Beach",7.5,160,NA,5,NA
"189","2021","Jun","26","Fifth Beach",8.5,512,NA,16,NA
"190","2021","Jun","26","Fifth Beach",9.5,0,NA,0,NA
"191","2021","Jun","28","North Beach",0.5,800,0,25,0
"192","2021","Jun","28","North Beach",1.5,2240,0,70,0
"193","2021","Jun","28","North Beach",2.5,0,NA,0,NA
"194","2021","Jun","28","North Beach",3.5,1696,160,53,5
"195","2021","Jun","28","North Beach",4.5,576,0,18,0
"196","2021","Jun","28","North Beach",5.5,2208,0,69,0
"197","2021","Jun","28","North Beach",6.5,0,NA,0,NA
"198","2021","Jun","28","North Beach",7.5,0,NA,0,NA
"199","2021","Jun","28","North Beach",8.5,160,0,5,0
"200","2021","Jun","28","North Beach",9.5,2336,32,73,1
"201","2021","May","28","North Beach",0.5,1280,224,40,7
"202","2021","May","28","North Beach",1.5,1472,160,46,5
"203","2021","May","28","North Beach",2.5,736,0,23,0
"204","2021","May","28","North Beach",3.5,1408,0,44,0
"205","2021","May","28","North Beach",4.5,288,0,9,0
"206","2021","May","28","North Beach",5.5,1184,0,37,0
"207","2021","May","28","North Beach",6.5,0,NA,0,NA
"208","2021","May","28","North Beach",7.5,192,0,6,0
"209","2021","May","28","North Beach",8.5,2016,64,63,2
"210","2021","May","28","North Beach",9.5,1472,0,46,0
"211","2021","May","29","Fifth Beach",0.5,0,NA,0,NA
"212","2021","May","29","Fifth Beach",1.5,0,NA,0,NA
"213","2021","May","29","Fifth Beach",2.5,0,NA,0,NA
"214","2021","May","29","Fifth Beach",3.5,736,0,23,0
"215","2021","May","29","Fifth Beach",4.5,3136,0,98,0
"216","2021","May","29","Fifth Beach",5.5,3584,0,112,0
"217","2021","May","29","Fifth Beach",6.5,832,0,26,0
"218","2021","May","29","Fifth Beach",7.5,480,0,15,0
"219","2021","May","29","Fifth Beach",8.5,1120,0,35,0
"220","2021","May","29","Fifth Beach",9.5,0,0,0,0
"221","2021","May","30","West Beach",0.5,800,0,25,0
"222","2021","May","30","West Beach",1.5,1024,0,32,0
"223","2021","May","30","West Beach",2.5,448,0,14,0
"224","2021","May","30","West Beach",3.5,672,0,21,0
"225","2021","May","30","West Beach",4.5,512,0,16,0
"226","2021","May","30","West Beach",5.5,1024,0,32,0
"227","2021","May","30","West Beach",6.5,1152,0,36,0
"228","2021","May","30","West Beach",7.5,704,0,22,0
"229","2021","May","30","West Beach",8.5,0,NA,0,NA
"230","2021","May","30","West Beach",9.5,0,NA,0,NA
"231","2022","Jun","12","North Beach",0.5,1792,192,56,6
"232","2022","Jun","12","North Beach",1.5,1120,288,35,9
"233","2022","Jun","12","North Beach",2.5,0,NA,0,NA
"234","2022","Jun","12","North Beach",3.5,544,0,17,0
"235","2022","Jun","12","North Beach",4.5,1056,0,33,0
"236","2022","Jun","12","North Beach",5.5,1664,0,52,0
"237","2022","Jun","12","North Beach",6.5,0,NA,0,NA
"238","2022","Jun","12","North Beach",7.5,928,0,29,0
"239","2022","Jun","12","North Beach",8.5,224,0,7,0
"240","2022","Jun","12","North Beach",9.5,1248,0,39,0
"241","2022","Jun","14","West Beach",0.5,1152,96,36,3
"242","2022","Jun","14","West Beach",1.5,1824,160,57,5
"243","2022","Jun","14","West Beach",2.5,1312,32,41,1
"244","2022","Jun","14","West Beach",3.5,2592,288,81,9
"245","2022","Jun","14","West Beach",4.5,1024,160,32,5
"246","2022","Jun","14","West Beach",5.5,2048,96,64,3
"247","2022","Jun","14","West Beach",6.5,1984,32,62,1
"248","2022","Jun","14","West Beach",7.5,1472,0,46,0
"249","2022","Jun","14","West Beach",8.5,0,NA,0,NA
"250","2022","Jun","14","West Beach",9.5,0,NA,0,NA
"251","2022","Jun","15","Fifth Beach",0.5,0,NA,0,NA
"252","2022","Jun","15","Fifth Beach",1.5,0,NA,0,NA
"253","2022","Jun","15","Fifth Beach",2.5,0,NA,0,NA
"254","2022","Jun","15","Fifth Beach",3.5,1856,0,58,0
"255","2022","Jun","15","Fifth Beach",4.5,512,0,16,0
"256","2022","Jun","15","Fifth Beach",5.5,1344,0,42,0
"257","2022","Jun","15","Fifth Beach",6.5,1952,0,61,0
"258","2022","Jun","15","Fifth Beach",7.5,608,0,19,0
"259","2022","Jun","15","Fifth Beach",8.5,0,NA,0,NA
"260","2022","Jun","15","Fifth Beach",9.5,0,NA,0,NA
"261","2022","May","15","West Beach",0.5,1440,NA,45,NA
"262","2022","May","15","West Beach",1.5,1152,NA,36,NA
"263","2022","May","15","West Beach",2.5,544,NA,17,NA
"264","2022","May","15","West Beach",3.5,1536,NA,48,NA
"265","2022","May","15","West Beach",4.5,768,NA,24,NA
"266","2022","May","15","West Beach",5.5,1408,NA,44,NA
"267","2022","May","15","West Beach",6.5,2048,NA,64,NA
"268","2022","May","15","West Beach",7.5,1952,NA,61,NA
"269","2022","May","15","West Beach",8.5,1184,NA,37,NA
"270","2022","May","15","West Beach",9.5,0,NA,0,NA
"271","2022","May","16","North Beach",0.5,1600,224,50,7
"272","2022","May","16","North Beach",1.5,0,NA,0,NA
"273","2022","May","16","North Beach",2.5,384,0,12,0
"274","2022","May","16","North Beach",3.5,1984,96,62,3
"275","2022","May","16","North Beach",4.5,1312,0,41,0
"276","2022","May","16","North Beach",5.5,704,32,22,1
"277","2022","May","16","North Beach",6.5,0,NA,0,NA
"278","2022","May","16","North Beach",7.5,0,NA,0,NA
"279","2022","May","16","North Beach",8.5,1088,0,34,0
"280","2022","May","16","North Beach",9.5,864,0,27,0
"281","2022","May","18","Fifth Beach",0.5,0,NA,0,NA
"282","2022","May","18","Fifth Beach",1.5,0,NA,0,NA
"283","2022","May","18","Fifth Beach",2.5,0,NA,0,NA
"284","2022","May","18","Fifth Beach",3.5,320,0,10,0
"285","2022","May","18","Fifth Beach",4.5,1920,0,60,0
"286","2022","May","18","Fifth Beach",5.5,0,NA,0,NA
"287","2022","May","18","Fifth Beach",6.5,256,0,8,0
"288","2022","May","18","Fifth Beach",7.5,0,NA,0,NA
"289","2022","May","18","Fifth Beach",8.5,1824,0,57,0
"290","2022","May","18","Fifth Beach",9.5,0,NA,0,NA
