site,date,lat,long,transect,distance,number_alive,number_dead,quadrat_size_cm,species,tide_height_m,bed_width_m,secondary_bed_width_m,secondary_bed_density,surveyer,photo_link,transect_video_link,shoreline_characterization,notes,percent_cover
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,1,28,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,The Pruth Bay cobble data also appear on the barnacle data sheet,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,2,80,2,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,3,96,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,4,128,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,5,68,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,6,20,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,7,10,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,8,17,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,9,48,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,10,24,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,1,0,9,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,2,1,7,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,3,17,10,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,4,0,32,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,5,9,9,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,6,5,18,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,7,0,8,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,8,0,26,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,9,6,7,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,10,14,37,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,1,34,4,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,2,35,3,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,3,61,3,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,4,59,5,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,5,55,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,6,76,12,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,7,48,3,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,8,38,3,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,9,17,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midshade,2021-08-19,51.654518,-128.13041,3,10,54,2,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,1,0,22,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,2,1,15,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,3,0,12,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,4,0,25,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,5,2,10,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,6,0,28,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,7,0,5,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,8,2,29,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,9,5,16,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_midsun,2021-08-19,51.654518,-128.13041,4,10,10,4,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,1,0,20,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,2,10,5,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,3,41,15,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,4,5,6,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,5,51,11,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,6,2,30,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,7,13,24,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,8,25,10,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,9,4,16,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_northsun,2021-08-19,51.655342,-128.130402,5,10,14,19,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
