id,month,number_individual_birds,number_of_species,year,number_of_surveys,dataset
Stn 1,march,143,16,2021,9,both <50m + >50m
Stn 2,march,158,12,2021,9,both <50m + >50m
Stn 3,march,137,21,2021,9,both <50m + >50m
Stn 4,march,154,17,2021,9,both <50m + >50m
Stn 5,march,106,15,2021,9,both <50m + >50m
Stn 6,march,63,15,2021,9,both <50m + >50m
Stn 7,march,54,10,2021,9,both <50m + >50m
Stn 1,april,180,19,2021,9,both <50m + >50m
Stn 2,april,188,19,2021,9,both <50m + >50m
Stn 3,april,211,26,2021,9,both <50m + >50m
Stn 4,april,191,20,2021,9,both <50m + >50m
Stn 5,april,132,20,2021,9,both <50m + >50m
Stn 6,april,136,21,2021,9,both <50m + >50m
Stn 7,april,118,18,2021,9,both <50m + >50m
Stn 1,may,305,31,2021,9,both <50m + >50m
Stn 2,may,245,30,2021,9,both <50m + >50m
Stn 3,may,268,30,2021,9,both <50m + >50m
Stn 4,may,197,26,2021,9,both <50m + >50m
Stn 5,may,222,30,2021,9,both <50m + >50m
Stn 6,may,278,30,2021,9,both <50m + >50m
Stn 7,may,206,24,2021,9,both <50m + >50m
Stn 1,june,263,27,2021,8,both <50m + >50m
Stn 2,june,336,32,2021,8,both <50m + >50m
Stn 3,june,255,30,2021,8,both <50m + >50m
Stn 4,june,240,31,2021,8,both <50m + >50m
Stn 5,june,213,28,2021,8,both <50m + >50m
Stn 6,june,173,22,2021,8,both <50m + >50m
Stn 7,june,118,21,2021,8,both <50m + >50m
Stn 1,july,165,25,2021,6,both <50m + >50m
Stn 2,july,169,24,2021,6,both <50m + >50m
Stn 3,july,148,28,2021,6,both <50m + >50m
Stn 4,july,122,27,2021,6,both <50m + >50m
Stn 5,july,109,24,2021,6,both <50m + >50m
Stn 6,july,161,22,2021,6,both <50m + >50m
Stn 7,july,97,25,2021,6,both <50m + >50m
Stn 1,august,148,20,2021,5,both <50m + >50m
Stn 2,august,152,20,2021,5,both <50m + >50m
Stn 3,august,45,14,2021,5,both <50m + >50m
Stn 4,august,110,21,2021,5,both <50m + >50m
Stn 5,august,132,25,2021,5,both <50m + >50m
Stn 6,august,53,15,2021,5,both <50m + >50m
Stn 7,august,59,19,2021,5,both <50m + >50m
Stn 1,september,157,19,2021,3,both <50m + >50m
Stn 2,september,122,23,2021,3,both <50m + >50m
Stn 3,september,104,18,2021,3,both <50m + >50m
Stn 4,september,45,15,2021,3,both <50m + >50m
Stn 5,september,37,12,2021,3,both <50m + >50m
Stn 6,september,70,19,2021,3,both <50m + >50m
Stn 7,september,88,16,2021,3,both <50m + >50m
Stn 1,october,80,12,2021,3,both <50m + >50m
Stn 2,october,90,16,2021,3,both <50m + >50m
Stn 3,october,216,14,2021,3,both <50m + >50m
Stn 4,october,335,16,2021,3,both <50m + >50m
Stn 5,october,53,14,2021,3,both <50m + >50m
Stn 6,october,59,10,2021,3,both <50m + >50m
Stn 7,october,38,8,2021,3,both <50m + >50m
Stn 1,november,67,15,2021,2,both <50m + >50m
Stn 2,november,103,18,2021,2,both <50m + >50m
Stn 3,november,81,16,2021,2,both <50m + >50m
Stn 4,november,41,8,2021,2,both <50m + >50m
Stn 5,november,45,12,2021,2,both <50m + >50m
Stn 6,november,75,13,2021,2,both <50m + >50m
Stn 7,november,19,6,2021,2,both <50m + >50m
Stn 1,december,86,9,2021,6,both <50m + >50m
Stn 2,december,143,12,2021,6,both <50m + >50m
Stn 3,december,108,14,2021,6,both <50m + >50m
Stn 4,december,135,11,2021,6,both <50m + >50m
Stn 5,december,21,7,2021,6,both <50m + >50m
Stn 6,december,36,10,2021,6,both <50m + >50m
Stn 7,december,33,9,2021,6,both <50m + >50m
Stn 1,january,83,7,2022,3,both <50m + >50m
Stn 2,january,93,11,2022,3,both <50m + >50m
Stn 3,january,142,18,2022,3,both <50m + >50m
Stn 4,january,251,16,2022,3,both <50m + >50m
Stn 5,january,96,11,2022,3,both <50m + >50m
Stn 6,january,126,7,2022,3,both <50m + >50m
Stn 7,january,32,8,2022,3,both <50m + >50m
Stn 1,february,96,9,2022,2,both <50m + >50m
Stn 2,february,54,16,2022,2,both <50m + >50m
Stn 3,february,34,11,2022,2,both <50m + >50m
Stn 4,february,89,10,2022,2,both <50m + >50m
Stn 5,february,7,5,2022,2,both <50m + >50m
Stn 6,february,29,3,2022,2,both <50m + >50m
Stn 7,february,5,3,2022,2,both <50m + >50m