response_id,unique_species,study_id,species,comparison_type,response_def,response_type,response_units,realm,movement,mean_control,mean_treatment,var_control,var_treatment,samp_control,samp_treatment,larger_group,ecosystem,plant,crop,response_type_broad
1,1,Phyllospadix_Calvert,phyllospadix,temporal_post,flowering shoot density,reproduction,flowering shoots/m2,marine,sessile,53.58139534883721,57.26315789473684,108.56690554196994,70.41530934018314,60,30,plants,NA,NA,NA,direct
2,1,Phyllospadix_Calvert,phyllospadix,temporal_post,shoot density,abundance/survival,shoots/m2,marine,sessile,767.4666666666667,807.4666666666667,708.4847394183594,802.5199850700179,60,30,plants,NA,NA,NA,NA
1,1,Nucella_Harley,Nucella lamellosa,temporal_post,survival,abundance/survival,percent,marine,motile,79.79134161089286,24.99931944875,26.007682416772017,13.241832562241502,28,8,marine invertebrates,NA,NA,NA,NA
1,1,Balanus_Exposure_Harley,Balanus glandula,spatial,survival,abundance/survival,percent,marine,sessile,96.24586632033996,17.270664737586817,4.306723974519893,22.986024305457512,20,20,marine invertebrates,NA,NA,NA,NA
1,1,Mytilus_under_Fucus_Harley,Mytilus trossulus,spatial,survival,abundance/survival,percent,marine,sessile,92.78848694262423,7.083445641019618,6.089541702417386,5.4787485175683495,9,9,marine invertebrates,NA,NA,NA,NA
1,1,lupine,Lupinus latifolius,temporal_post,log fruit count,reproduction,log( fruits + 1),terrestrial,sessile,2.052949667199494,0.3354649236116975,1.282971604718337,0.723607497514003,684,684,plants,NA,NA,NA,direct
1,1,interior_shrubs,rose,spatial,proportion plants not 100% scorched,damage,proportion,terrestrial,sessile,1,0.3,0,0.2121320343559642,40,40,plants,submontane (ponderosa pine),prickly rose,NA,indirect
1,1,interior_shrubs,rose,spatial,proportion plants not 100% scorched,damage,proportion,terrestrial,sessile,1,0.8,0,0.21213203435596423,40,40,plants,submontane (ponderosa pine),saskatoon,NA,indirect
1,1,aphids_agrifood_canada,blueberry aphid,temporal_post,proportion_plant_tips_with_aphids,abundance/survival,proportion,terrestrial,sessile,0.5872619047619048,0.006249999999999999,0.2800261878224009,0.024462302739504067,120,48,insects,NA,NA,blueberry,NA
1,2,aphids_agrifood_canada,raspberry aphid,temporal_post,proportion_plant_tips_with_aphids,abundance/survival,proportion,terrestrial,sessile,0.1121585690113609,0.019178082191780823,0.17420020470371847,0.043003663431074694,197,73,insects,NA,NA,raspberry,NA
1,1,Bat_UBC_Farm,bat,temporal_during,number_of_bat_calls,behaviour,number,terrestrial,motile,232.5,302,126.63445705764966,80.18728078691782,8,8,mammals,NA,NA,NA,indirect
1,1,Bat_UBC_Farm,bat,temporal_post,number_of_bat_calls,behaviour,number,terrestrial,motile,232.5,275.75,126.63445705764966,80.42698552103019,8,8,mammals,NA,NA,NA,indirect
1,1,Hawks_Bayne_2022,hawk,temporal_during,average daily distance km,behaviour,distance km,terrestrial,motile,2.90434584018337,0.5406093794182845,3.294294592475186,0.5039179198553352,1214,630,birds,NA,NA,NA,indirect
1,1,Hawks_Bayne_2022,hawk,temporal_post,average daily distance km,behaviour,distance km,terrestrial,motile,2.90434584018337,0.7678775848214755,3.294294592475186,1.002277559180215,1214,210,birds,NA,NA,NA,indirect
1,1,honeybees,honeybees,temporal_during,hive growth rate,growth,delta~g/ g,terrestrial,motile,0.13261729986666668,0.1475607886,0.12755787294600332,0.0998198889620076,15,15,insects,NA,NA,NA,direct
1,1,honeybees,honeybees,temporal_post,hive growth rate,growth,delta~g/ g,terrestrial,motile,0.13261729986666668,0.15714275546666667,0.12755787294600332,0.142903931359596,15,15,insects,NA,NA,NA,direct
1,1,scoter,Melanitta perspicillata,temporal_post,log survey counts,abundance/survival,log counts,marine,motile,1.5231341378937258,0.6658349909502578,1.3196752203224833,1.2378955204272868,29,29,birds,NA,NA,NA,NA
1,1,songbirds,Catharus ustulatus,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,100.09478672985782,97.76300578034682,89.74418947275063,97.21539508779229,211,173,birds,NA,NA,NA,indirect
1,2,songbirds,Contopus cooperi,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,7.653846153846154,6.484375,13.111744702408986,9.251327124873953,104,64,birds,NA,NA,NA,indirect
1,3,songbirds,Contopus sordidulus,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,13.541666666666666,14.68421052631579,16.76429738064398,19.450942940807515,24,19,birds,NA,NA,NA,indirect
1,4,songbirds,Leiothlypis celata,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,12.866666666666667,10.716216216216216,19.544357776707702,17.20904530418167,60,74,birds,NA,NA,NA,indirect
1,5,songbirds,Regulus calendula,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,4.684210526315789,5.325581395348837,7.849380991829051,9.511198738310835,57,43,birds,NA,NA,NA,indirect
1,6,songbirds,Troglodytes pacificus,temporal_during,calls/day,behaviour,calls/day,terrestrial,motile,28.814432989690722,33.123456790123456,40.379793290525484,42.45214444408238,97,81,birds,NA,NA,NA,indirect
1,1,songbirds,Catharus ustulatus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,100.09478672985782,111.72093023255815,89.74418947275063,97.4731514912076,211,129,birds,NA,NA,NA,indirect
1,2,songbirds,Contopus cooperi,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,7.653846153846154,10.568965517241379,13.111744702408986,20.313431792579326,104,58,birds,NA,NA,NA,indirect
1,3,songbirds,Contopus sordidulus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,13.541666666666666,7.235294117647059,16.76429738064398,12.326442165953168,24,17,birds,NA,NA,NA,indirect
1,4,songbirds,Leiothlypis celata,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,12.866666666666667,7.204545454545454,19.544357776707702,8.622791717181034,60,44,birds,NA,NA,NA,indirect
1,5,songbirds,Regulus calendula,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,4.684210526315789,8.857142857142858,7.849380991829051,21.010957081016503,57,28,birds,NA,NA,NA,indirect
1,6,songbirds,Troglodytes pacificus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,28.814432989690722,36.950819672131146,40.379793290525484,52.617305844341175,97,61,birds,NA,NA,NA,indirect
1,1,Mammals_McClement_2022,Alces alces,temporal_during,daily detections,behaviour,counts,terrestrial,motile,5.75,3.625,3.5355339059327378,1.9226098333849673,8,8,mammals,NA,NA,NA,indirect
1,2,Mammals_McClement_2022,Canis lupus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,1.875,2,1.5526475085202969,2.0701966780270626,8,8,mammals,NA,NA,NA,indirect
1,3,Mammals_McClement_2022,Lepus americanus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,6.25,4.875,1.4880476182856899,3.1367635732209265,8,8,mammals,NA,NA,NA,indirect
1,4,Mammals_McClement_2022,Odocoileus hemionus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,4.25,2.5,1.8322507626258087,1.7728105208558367,8,8,mammals,NA,NA,NA,indirect
1,5,Mammals_McClement_2022,Rangifer tarandus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,4.375,2.875,3.2923070504261465,1.807721533549109,8,8,mammals,NA,NA,NA,indirect
1,6,Mammals_McClement_2022,Tamiasciurus hudsonicus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,2.625,1.75,1.5979898086569353,1.0350983390135313,8,8,mammals,NA,NA,NA,indirect
1,1,Mammals_McClement_2022,Alces alces,temporal_post,daily detections,behaviour,counts,terrestrial,motile,5.75,5.833333333333333,3.5355339059327378,3.763863263545405,8,6,mammals,NA,NA,NA,indirect
1,2,Mammals_McClement_2022,Canis lupus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,1.875,0.8333333333333334,1.5526475085202969,0.752772652709081,8,6,mammals,NA,NA,NA,indirect
1,3,Mammals_McClement_2022,Lepus americanus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,6.25,4.5,1.4880476182856899,2.258317958127243,8,6,mammals,NA,NA,NA,indirect
1,4,Mammals_McClement_2022,Odocoileus hemionus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,4.25,6.166666666666667,1.8322507626258087,1.4719601443879744,8,6,mammals,NA,NA,NA,indirect
1,5,Mammals_McClement_2022,Rangifer tarandus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,4.375,2.1666666666666665,3.2923070504261465,1.4719601443879744,8,6,mammals,NA,NA,NA,indirect
1,6,Mammals_McClement_2022,Tamiasciurus hudsonicus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,2.625,1.5,1.5979898086569353,0.5477225575051661,8,6,mammals,NA,NA,NA,indirect
1,1,Hesketh_Harley_2022,Semibalanus cariosus,spatial,survival,abundance/survival,percent,marine,sessile,82.95163554532624,37.445929967649754,32.42787940122952,38.44751754782586,12,12,marine invertebrates,NA,NA,NA,NA
2,2,Hesketh_Harley_2022,Balanus glandula,spatial,recruitment,abundance/survival,abundance,marine,sessile,197.58333333333331,82.08333333333334,170.03018894159695,116.41888189037918,12,12,marine invertebrates,NA,NA,NA,NA
2,1,Hesketh_Harley_2022,Chthamalus dalli,spatial,recruitment,abundance/survival,abundance,marine,sessile,17,13.25,13.348476249438292,13.046246412456936,12,12,marine invertebrates,NA,NA,NA,NA
2,1,Hesketh_Harley_2022,Semibalanus cariosus,spatial,recruitment,abundance/survival,abundance,marine,sessile,8.333333333333332,0.16666666666666669,12.63712663927088,0.38924947208076144,12,12,marine invertebrates,NA,NA,NA,NA
1,1,Baum_Lab,acrosiphonia,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,1.1199999999999994,0.4000000000000001,1.7869900204906952,1.6072751268321586,25,25,algae,NA,NA,NA,NA
1,1,Baum_Lab,acrosiphonia,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,1.1199999999999994,0.18518518518518523,1.7869900204906952,0.4833407013879895,25,27,algae,NA,NA,NA,NA
1,3,Baum_Lab,fucus,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,11.239999999999998,5.360000000000001,20.035967658189115,11.430514715736416,25,25,algae,NA,NA,NA,NA
1,3,Baum_Lab,fucus,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,11.239999999999998,4.962962962962964,20.035967658189115,8.846909418989563,25,27,algae,NA,NA,NA,NA
1,2,Baum_Lab,ulva,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,8.440000000000001,11.040000000000003,15.335362184615445,18.07733387421939,25,25,algae,NA,NA,NA,NA
1,2,Baum_Lab,ulva,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,8.440000000000001,13.962962962962964,15.335362184615445,17.363714334743463,25,27,algae,NA,NA,NA,NA
1,6,Baum_Lab,red,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,22.92,6.92,15.997187252764157,6.738694235532577,25,25,algae,NA,NA,NA,NA
1,6,Baum_Lab,red,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,22.92,6.962962962962963,15.997187252764157,7.030053514849828,25,27,algae,NA,NA,NA,NA
1,4,Baum_Lab,kelp,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,10.4,3.919999999999999,19.29810007919605,9.050414355155237,25,25,algae,NA,NA,NA,NA
1,4,Baum_Lab,kelp,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,10.4,4.9259259259259265,19.29810007919605,10.295353417649244,25,27,algae,NA,NA,NA,NA
1,5,Baum_Lab,phyllospadix,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,0.9599999999999999,0.44,3.3600595232822896,1.3564659966250543,25,25,plants,NA,NA,NA,NA
1,5,Baum_Lab,phyllospadix,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,0.9599999999999999,0.7037037037037035,3.3600595232822896,2.728972965658225,25,27,plants,NA,NA,NA,NA
