,Treehole.Number,Order,Family,Sub.family,Genus,species,status,size,abundance
1,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,2
2,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
3,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
4,1,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,5,0
5,1,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,5,0
6,1,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,5,9
7,1,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,5,0
8,1,Diptera,Psychodidae,NA,NA,Psychodid.A,dead,medium,3
9,1,Diptera,Psychodidae,NA,NA,Psychodid.B,dead,medium,0
10,1,Diptera,Psychodidae,NA,NA,Psychodid.C,dead,medium,0
11,1,Diptera,Psychodidae,NA,NA,Psychodid.D,dead,medium,0
12,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,2
13,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
14,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
15,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,0
16,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,7
17,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
18,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
19,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,0
20,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,27
21,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
22,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
23,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,2
24,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,small,11
25,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,small,0
26,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,small,0
27,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,small,1
28,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
29,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
30,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
31,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
32,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
33,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
34,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
35,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
36,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
37,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
38,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
39,2,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,126
40,2,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,1
41,2,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
42,2,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,3
43,2,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,1
44,2,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
45,2,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
46,2,Diptera,Chironomidae,NA,NA,Chironomid.A,alive,unknown,1
47,2,Diptera,Chironomidae,NA,NA,Chironomid.B,alive,unknown,0
48,2,Diptera,Chironomidae,NA,NA,Chironomid.C,alive,unknown,0
49,2,Diptera,Chironomidae,NA,NA,Chironomid.D,alive,unknown,0
50,2,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,2
51,2,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
52,2,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
53,2,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,0
54,2,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
55,2,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
56,2,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
57,2,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5.5,1
58,3,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,53
59,3,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
60,3,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
61,3,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3.5,3
62,3,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3.5,0
63,3,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3.5,0
64,3,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3.5,0
65,3,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,4,8
66,3,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,4,2
67,3,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,4,0
68,3,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,4,0
69,3,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
70,3,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
71,3,Diptera,Unknown,Unknown,Unknown,Diptera.A,unknown,unknown,5
72,4,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,60
73,4,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
74,4,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
75,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,14,1
76,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
77,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
78,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
79,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
80,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
81,4,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
82,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,86
83,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
84,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
85,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,238
86,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,1
87,5,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
88,5,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,7,1
89,5,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
90,5,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,7,1
91,5,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
92,6,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,31
93,6,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
94,6,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
95,6,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,1
96,6,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,0
97,6,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
98,6,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
99,6,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,2
100,6,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,2
101,6,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
102,6,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
103,6,Diptera,Chironomidae,NA,NA,Chironomid.A,alive,unknown,1
104,6,Diptera,Chironomidae,NA,NA,Chironomid.B,alive,unknown,0
105,6,Diptera,Chironomidae,NA,NA,Chironomid.C,alive,unknown,0
106,6,Diptera,Chironomidae,NA,NA,Chironomid.D,alive,unknown,0
107,6,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,4
108,6,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
109,6,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
110,6,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,0
111,6,Diptera,Psychodidae,NA,NA,Pupa.A,alive,2.5,1
112,6,Diptera,Psychodidae,NA,NA,Pupa.B,alive,2.5,0
113,6,Diptera,Psychodidae,NA,NA,Pupa.C,alive,2.5,0
114,6,Diptera,Psychodidae,NA,NA,Pupa.D,alive,2.5,0
115,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
116,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,20,1
117,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
118,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,7,1
119,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
120,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
121,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
122,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
123,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
124,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
125,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
126,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
127,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
128,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
129,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
130,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
131,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
132,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,2,1
133,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
134,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
135,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
136,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
137,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
138,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
139,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
140,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
141,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
142,6,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
143,6,Diptera,Syrphida,NA,NA,Syrphid.A,dead,10,1
144,7,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,6
145,7,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
146,7,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
147,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,121
148,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
149,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
150,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,0
151,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,1
152,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
153,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,180
154,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
155,8,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
156,8,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3.5,4
157,8,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3.5,0
158,8,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3.5,0
159,8,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3.5,0
160,8,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,3
161,8,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,0
162,8,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
163,8,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
164,8,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,2
165,8,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,4
166,8,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
167,8,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
168,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
169,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
170,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
171,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
172,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,7,1
173,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
174,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
175,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
176,8,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
177,9,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,145
178,9,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,2
179,9,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
180,9,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,2,5
181,9,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,2,7
182,9,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,2,0
183,9,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,2,0
184,9,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
185,9,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
186,10,Diptera,Psychodidae,NA,NA,Psychodid.A,dead,medium,2
187,10,Diptera,Psychodidae,NA,NA,Psychodid.B,dead,medium,0
188,10,Diptera,Psychodidae,NA,NA,Psychodid.C,dead,medium,0
189,10,Diptera,Psychodidae,NA,NA,Psychodid.D,dead,medium,0
190,10,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,23
191,10,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
192,10,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
193,10,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,0
194,10,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,28
195,10,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
196,10,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
197,10,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,2
198,10,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,small,4
199,10,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,small,0
200,10,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,small,0
201,10,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,small,0
202,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
203,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
204,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,15,1
205,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
206,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
207,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
208,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
209,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,14,1
210,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
211,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
212,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
213,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
214,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
215,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
216,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
217,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
218,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
219,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
220,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
221,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,dead,2,1
222,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,dead,2,1
223,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,dead,4,1
224,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
225,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
226,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,12,1
227,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
228,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
229,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
230,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,14,1
231,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
232,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
233,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
234,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,14,1
235,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
236,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
237,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
238,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
239,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
240,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
241,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,3,1
242,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
243,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
244,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
245,10,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
246,11,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,40
247,11,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
248,11,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
249,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
250,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
251,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
252,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
253,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
254,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
255,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
256,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,8,1
257,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,13,1
258,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
259,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
260,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
261,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
262,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
263,11,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
264,13,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,30
265,13,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
266,13,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
267,13,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,4,1
268,13,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,4,0
269,13,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,4,0
270,13,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,4,0
271,13,Diptera,Ceratopogonidae,NA,NA,Pupa.A,dead,3.5,4
272,13,Diptera,Ceratopogonidae,NA,NA,Pupa.B,dead,3.5,1
273,13,Diptera,Ceratopogonidae,NA,NA,Pupa.C,dead,3.5,0
274,13,Diptera,Ceratopogonidae,NA,NA,Pupa.D,dead,3.5,0
275,13,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,2,0
276,13,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,2,1
277,13,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,2,0
278,13,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,2,0
279,13,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,3,15
280,13,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,3,0
281,13,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,3,0
282,13,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,3,0
283,13,Diptera,Chironomidae,NA,NA,Chironomid.A,alive,unknown,9
284,13,Diptera,Chironomidae,NA,NA,Chironomid.B,alive,unknown,1
285,13,Diptera,Chironomidae,NA,NA,Chironomid.C,alive,unknown,0
286,13,Diptera,Chironomidae,NA,NA,Chironomid.D,alive,unknown,0
287,13,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,0
288,13,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
289,13,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,1
290,13,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,0
291,13,Diptera,Psychodidae,NA,NA,Psychodid.A,dead,medium,14
292,13,Diptera,Psychodidae,NA,NA,Psychodid.B,dead,medium,0
293,13,Diptera,Psychodidae,NA,NA,Psychodid.C,dead,medium,0
294,13,Diptera,Psychodidae,NA,NA,Psychodid.D,dead,medium,0
295,13,Diptera,Psychodidae,NA,NA,Psychodid.A,dead,small,2
296,13,Diptera,Psychodidae,NA,NA,Psychodid.B,dead,small,0
297,13,Diptera,Psychodidae,NA,NA,Psychodid.C,dead,small,0
298,13,Diptera,Psychodidae,NA,NA,Psychodid.D,dead,small,0
299,13,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,24
300,13,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
301,13,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
302,13,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,4
303,13,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,32
304,13,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
305,13,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
306,13,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,10
307,13,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,small,45
308,13,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,small,0
309,13,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,small,0
310,13,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,small,0
311,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
312,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,2,1
313,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
314,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
315,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
316,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
317,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
318,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
319,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
320,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,6,1
321,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
322,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,9,1
323,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,4,1
324,13,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,5,1
